@relation Vweek_noid_In2_clustered

@attribute Instance_number numeric
@attribute in0 numeric
@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute in6 numeric
@attribute in7 numeric
@attribute in8 numeric
@attribute in9 numeric
@attribute in10 numeric
@attribute in11 numeric
@attribute in12 numeric
@attribute in13 numeric
@attribute in14 numeric
@attribute in15 numeric
@attribute in16 numeric
@attribute in17 numeric
@attribute in18 numeric
@attribute in19 numeric
@attribute in20 numeric
@attribute in21 numeric
@attribute in22 numeric
@attribute in23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
217,0.298063,0.342772,0.566319,0.611028,0.417288,0.52161,0.447094,0.536513,0.506706,0.491803,0.506706,0.581222,0.387481,0.596125,0.298063,0.342772,0.342772,0.566319,0.402385,0.268256,0.283159,0.268256,0.193741,0.223547,cluster2
218,0,0,0.769231,0.769231,1.538462,0,0.769231,0,0.769231,0,0.769231,0.769231,0.769231,0,0,0,0,0.769231,0,0,0,1.538462,0,0.769231,cluster3
219,0.980392,0.261438,0.196078,0.261438,0.196078,0.196078,0.261438,0.522876,0.326797,0.457516,0.392157,0.457516,0.915033,0.522876,0.261438,0.522876,0.326797,0.196078,0.588235,0.196078,0.326797,0.196078,0.980392,0.457516,cluster5
220,0.641711,0.467914,0.494652,0.481283,0.347594,0.467914,0.574866,0.454545,0.441176,0.334225,0.240642,0.334225,0.40107,0.254011,0.213904,0.280749,0.374332,0.374332,0.307487,0.52139,0.601604,0.414439,0.588235,0.387701,cluster5
221,0.870406,0.32882,0.270793,0.367505,0.251451,0.599613,0.386847,0.502901,0.309478,0.270793,0.32882,0.212766,0.270793,0.425532,0.309478,0.32882,0.290135,0.348162,0.290135,0.541586,0.464217,0.793037,0.696325,0.541586,cluster5
222,0.416667,0.378788,0.284091,0.340909,0.227273,0.359848,0.435606,0.284091,0.265152,0.32197,0.30303,0.378788,0.227273,0.435606,0.643939,0.397727,0.511364,0.397727,0.643939,0.700758,0.378788,0.454545,0.643939,0.568182,cluster5
223,0.954955,0.540541,0.27027,0.198198,0.234234,0.306306,0.342342,0.378378,0.234234,0.252252,0.468468,0.306306,0.396396,0.288288,0.288288,0.522523,0.198198,0.396396,0.468468,0.414414,0.396396,0.630631,0.594595,0.918919,cluster5
224,0.871795,0.307692,0.307692,0.384615,0.282051,0.384615,0.282051,0.384615,0.358974,0.307692,0.435897,0.384615,0.487179,0.487179,0.358974,0.358974,0.384615,0.461538,0.282051,0.410256,0.333333,0.641026,0.512821,0.589744,cluster5
225,0.82658,0.356564,0.243112,0.259319,0.259319,0.291734,0.275527,0.324149,0.340357,0.307942,0.421394,0.388979,0.226904,0.599676,0.437601,0.324149,0.518639,0.324149,0.307942,0.437601,0.421394,0.567261,0.680713,0.858995,cluster5
226,1.111111,0,0,0.555556,0,0.555556,0.555556,0,0.555556,1.111111,0.555556,1.111111,0.555556,0,0,0,0,0.555556,0,1.111111,0,0,0,1.666667,cluster4
227,1.309524,0.396825,0.198413,0.15873,0.357143,0.277778,0.357143,0.396825,0.31746,0.079365,0.555556,0.436508,0.396825,0.277778,0.595238,0.31746,0.833333,0.238095,0.238095,0.15873,0.277778,0.634921,0.515873,0.674603,cluster5
228,2,0.181818,0.545455,0,0.181818,0.545455,0.181818,0.181818,0.181818,0.545455,0.181818,0.727273,0,0.363636,0.727273,0.363636,0.363636,0.363636,0.181818,0.545455,0.181818,0.363636,0.181818,0.909091,cluster5
229,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
230,1.666667,0.555556,0.555556,1.111111,1.111111,0,0,0.555556,0,0,0.555556,0,0.555556,0,0.555556,0,0,0,0,0.555556,0.555556,0.555556,1.111111,0,cluster5
231,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
232,1.09589,1.027397,0.136986,0.136986,0,0.136986,0.205479,0.068493,0.479452,0.273973,0.273973,0.342466,0.273973,0.547945,0.342466,0.068493,0.479452,0.342466,0.684932,0.342466,0.616438,0.479452,0.547945,1.09589,cluster5
233,0.463287,0.428322,0.323427,0.769231,0.41958,0.533217,0.41958,0.34965,0.270979,0.367133,0.445804,0.297203,0.323427,0.253497,0.27972,0.314685,0.270979,0.506993,0.27972,0.454545,0.506993,0.629371,0.402098,0.690559,cluster5
234,0.27027,0,0,0.540541,0,0,0.27027,0.27027,0.27027,0.27027,0.27027,0.27027,0,1.351351,1.081081,0.540541,1.621622,0.540541,0.27027,0.810811,0.810811,0,0,0.540541,cluster0
235,0,0.666667,1.333333,0,2,0,0,1.333333,0,0,0,0.666667,0,0,0,0,2.666667,1.333333,0,0,0,0,0,0,cluster1
236,1.136364,0.340909,0,0.340909,0.113636,0.340909,0.113636,0.227273,0.340909,0.340909,0.568182,0.340909,0.227273,0.113636,0,0.340909,0.568182,0.340909,1.363636,0.568182,0.113636,0.454545,0.795455,0.909091,cluster5
237,0.416667,0.416667,0,0,0,0,0,0,0,0.416667,1.25,0,0,0,1.25,0.416667,0,1.25,0,0,0.833333,2.083333,1.666667,0,cluster0
238,0.203125,0.3125,0.6875,0.5,0.4375,0.5,0.515625,0.46875,0.46875,0.359375,0.328125,0.40625,0.46875,0.640625,0.640625,0.453125,0.578125,0.328125,0.4375,0.25,0.34375,0.296875,0.1875,0.1875,cluster2
239,0.114192,0.277325,0.375204,0.50571,0.293638,0.342577,0.522023,0.424144,0.668842,0.587276,0.636215,0.40783,0.522023,0.375204,0.440457,0.391517,0.538336,0.375204,0.375204,0.40783,0.424144,0.424144,0.40783,0.163132,cluster2
240,0.954357,0.145228,0.186722,0.228216,0.145228,0.290456,0.228216,0.165975,0.311203,0.33195,0.248963,0.311203,0.394191,0.414938,0.456432,0.477178,0.228216,0.560166,0.456432,0.435685,0.705394,0.767635,0.580913,0.975104,cluster5
241,1.121495,0.280374,0.093458,0.373832,0.280374,0.093458,0.560748,0.280374,0.280374,0.186916,0.280374,0.560748,0.560748,0.373832,0.373832,0.46729,0.280374,0.46729,0.46729,0.747664,0.46729,0.46729,0.373832,0.560748,cluster5
242,0.156438,0.204573,0.22864,0.373045,0.589651,0.385078,0.529483,0.625752,0.565584,0.469314,0.601685,0.505415,0.685921,0.649819,0.529483,0.397112,0.397112,0.288809,0.385078,0.32491,0.276775,0.421179,0.156438,0.252708,cluster2
243,0.097879,0.163132,0.375204,0.473083,0.375204,0.473083,0.391517,0.554649,0.734095,0.652529,0.603589,0.897227,0.489396,0.897227,0.734095,0.50571,0.424144,0.130506,0.277325,0.326264,0.146819,0.195759,0.065253,0.016313,cluster2
244,0,0.209424,0.314136,0.209424,0.52356,0.418848,0.418848,0.471204,0.52356,0.471204,1.361257,0.680628,0.732984,0.575916,0.52356,0.680628,0.104712,0.471204,0.680628,0.418848,0,0.209424,0,0,cluster2
245,0.666667,0.5,0,0.5,0.166667,0.166667,0.333333,0.166667,0.666667,0.333333,0.666667,0.5,0.833333,0.5,0,0.666667,0.333333,1,0,0.666667,0.166667,0.333333,0.333333,0.5,cluster2
246,0,0.204082,0,0.612245,0.204082,0,0.612245,0.408163,0.408163,0,0.408163,0.408163,0.204082,1.632653,0.612245,0.408163,0,0.204082,0.612245,1.020408,0.408163,0.204082,1.020408,0.408163,cluster4
247,0,0.344828,0.689655,0,0,0,0,0.689655,0,0.344828,1.034483,0.689655,0.344828,1.034483,0,1.034483,0.689655,0.344828,0,1.034483,0,1.034483,0.344828,0.344828,cluster2
248,0.769231,0.192308,0,0,0.769231,0,0.192308,0.192308,0.192308,0.384615,0.961538,1.153846,0.192308,0.576923,0,0.961538,0.192308,0.384615,0,0.384615,0,0.192308,1.346154,0.961538,cluster4
249,1.25,1.25,1.25,0,0,0,0,0,0,1.25,0,1.25,0,0,0,0,0,1.25,0,2.5,0,0,0,0,cluster4
250,0.238095,0.31746,0.396825,0.47619,0.793651,0.238095,0.238095,0.555556,0.555556,0.31746,0.396825,0.793651,0.555556,0.714286,0.31746,0.555556,0.15873,0.793651,1.031746,0.15873,0.15873,0.079365,0,0.15873,cluster2
251,0,0,1.25,1.25,1.25,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,1.25,0,0,0,0,0,cluster3
252,0,0,0,0,0,0,0,3.333333,1.666667,0,0,0,1.666667,0,0,0,0,1.666667,1.666667,0,0,0,0,0,cluster4
253,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5,0,cluster0
254,0,1.5625,0.625,0,0.625,0.625,0.625,0.625,0.3125,0.3125,0.625,0.3125,0.3125,0,0.9375,0.625,0,0,0.625,0.3125,0.625,0,0,0.3125,cluster2
255,0,7.857143,0,1.428571,0,0,0,0,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,0,0,cluster1
256,1.071429,0,0,1.071429,0.357143,0.357143,0,0,0.357143,0.357143,0.357143,0,0.714286,0,1.071429,0.714286,0.357143,0.714286,0.357143,0.357143,0.357143,0.357143,0.714286,0.357143,cluster2
257,0,0,0,3.333333,3.333333,0,0,0,0,1.666667,0,0,0,1.666667,0,0,0,0,0,0,0,0,0,0,cluster3
258,0,0,0.294118,0.294118,0,0.588235,0.294118,0.882353,0.294118,0.294118,0.882353,0,0.294118,0.882353,1.470588,0.588235,0.294118,0.882353,0,0.294118,0.294118,1.176471,0,0,cluster2
259,0.344828,1.551724,0.172414,0.344828,0,0,0.344828,0.517241,0.689655,0,0.862069,0,0.344828,0.517241,0.172414,0.344828,0.862069,0.172414,0.344828,0.344828,1.034483,0.344828,0.172414,0.517241,cluster2
260,0.217391,0,0.652174,0.217391,0.217391,0,0.217391,0.652174,0.434783,0.217391,1.304348,0.652174,0.217391,0.434783,0.217391,0.652174,1.086957,0.434783,0.217391,0.434783,0.217391,0.869565,0.217391,0.217391,cluster2
261,0.294118,0.392157,0.294118,0.294118,0.588235,0.980392,0.294118,0.294118,0.686275,0.588235,1.078431,1.176471,0.392157,0.098039,0.294118,0.196078,0.196078,0.588235,0.392157,0.098039,0.392157,0,0,0.392157,cluster2
262,0.786802,0.596447,0.418782,0.406091,0.494924,0.494924,0.507614,0.36802,0.279188,0.291878,0.304569,0.152284,0.253807,0.241117,0.291878,0.215736,0.329949,0.279188,0.317259,0.532995,0.444162,0.659898,0.532995,0.799492,cluster5
263,0.114286,0.057143,0.142857,0.285714,0.142857,0.428571,0.342857,0.714286,0.142857,0.571429,0.571429,0.742857,0.685714,0.428571,0.657143,0.771429,0.685714,0.4,0.6,0.428571,0.571429,0.228571,0.257143,0.028571,cluster2
264,0.609319,0.358423,0.394265,0.322581,0.394265,0.501792,0.322581,0.537634,0.609319,0.394265,0.179211,0.322581,0.501792,0.430108,0.322581,0.250896,0.322581,0.179211,0.250896,0.322581,0.286738,0.609319,0.78853,0.78853,cluster5
265,0,0.769231,1.794872,0.769231,0.25641,0,0.512821,0.25641,1.025641,0.512821,0,0.25641,0.25641,0,0.769231,0.512821,0,0.769231,0.512821,0.25641,0.25641,0,0.512821,0,cluster2
266,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,cluster0
267,0,0,0,0.625,0,0,0,2.5,0,0,0,0,0,0,1.875,0,0,1.25,0,1.25,0,2.5,0,0,cluster0
268,0,0,0,2.5,0,0,0,0,0.833333,0,1.666667,0,0,1.666667,0.833333,0,0,0.833333,0,0,0.833333,0,0,0.833333,cluster3
269,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,cluster0
270,0.263158,0.263158,0,1.052632,0,0.263158,0,0.789474,0.263158,0.263158,0.263158,0.263158,0,1.052632,0.789474,0.263158,0,1.578947,0,0.526316,0.263158,1.315789,0.526316,0,cluster0
271,0,0,0,0,5,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,cluster0
272,0,0.740741,0,0.37037,1.481481,0.37037,1.111111,0.37037,0,0,0.37037,0.37037,0.740741,0,0.37037,1.111111,1.111111,0.740741,0.740741,0,0,0,0,0,cluster2
273,1.666667,0.833333,0,0,0,1.666667,0,0.833333,0,0.833333,0,0,0,3.333333,0,0.833333,0,0,0,0,0,0,0,0,cluster4
274,2.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,cluster1
275,0,0.909091,0.909091,1.818182,1.818182,0,1.818182,0,0,0,0,0,0,0.909091,0,0.909091,0,0,0,0.909091,0,0,0,0,cluster1
276,0,0.909091,0,0.363636,0.181818,0.545455,0.909091,0,0.363636,0.727273,0.727273,0.909091,0.363636,0.909091,0.727273,0.181818,0.363636,0.363636,0,0.363636,0,0.909091,0.181818,0,cluster2
277,0.357143,0.357143,0.357143,0,0.714286,0.357143,0,0.714286,1.428571,0,0.357143,0.357143,0.714286,0.357143,1.071429,1.071429,0.357143,0,0.357143,0.357143,0,0.357143,0.357143,0,cluster2
278,0.967742,0.322581,0.322581,0,0,1.290323,0.322581,0.967742,0,0.645161,0.645161,0.322581,0.645161,0,0.645161,0.322581,0.322581,0.322581,0.645161,0.322581,0.645161,0.322581,0,0,cluster4
279,0.833333,1.666667,0.833333,0.833333,1.25,0.416667,0,0.416667,0,0,0.416667,0,0,0,0.833333,0,1.25,0,0.416667,0,0.416667,0,0,0.416667,cluster3
280,0.816327,0.204082,0.204082,0.204082,0.204082,0.408163,0,0.204082,0,0.612245,0,0.204082,0.816327,0.816327,0.204082,1.020408,0.612245,1.020408,0.612245,0.408163,0.612245,0.612245,0,0.204082,cluster2
281,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,cluster1
282,0,0,0,2.222222,0,0,0,0,0,0,0,0,0,0,0,2.222222,4.444444,0,0,0,0,1.111111,0,0,cluster0
283,1.428571,0,0,2.857143,0,0,0,0.714286,0,0.714286,0,0,0.714286,0.714286,0,0,2.142857,0,0,0.714286,0,0,0,0,cluster0
284,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,cluster4
285,0,0,0,0,0,0,0,0,0,1.111111,0,1.111111,0,0,0,2.222222,1.111111,0,0,2.222222,1.111111,0,0,1.111111,cluster4
286,0,0,0,0,1.666667,0,0,1.666667,0,0,0,0,0,0,3.333333,0,0,1.666667,0,0,0,0,1.666667,0,cluster0
287,0.192308,0,0.192308,0.576923,0.961538,0.576923,0.576923,0.192308,0.769231,0.192308,0.576923,0.192308,0.384615,0.961538,0.192308,0.192308,0.576923,0.384615,0.576923,0.769231,0.384615,0.192308,0.384615,0,cluster2
288,0.644831,0.644831,0.511771,0.706244,0.37871,0.542477,0.450358,0.296827,0.24565,0.470829,0.348004,0.388946,0.37871,0.388946,0.266121,0.327533,0.235415,0.24565,0.511771,0.399181,0.388946,0.368475,0.388946,0.470829,cluster5
289,1.279461,0.43771,0.572391,0.13468,0.505051,0.23569,0.30303,0.30303,0.40404,0.26936,0.3367,0.37037,0.37037,0.40404,0.37037,0.40404,0.37037,0.20202,0.43771,0.37037,0.40404,0.43771,0.505051,0.572391,cluster5
290,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,2.5,cluster4
291,3.333333,0,1.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666667,0,0,0,0,0,0,3.333333,cluster4
292,0,0.545455,0.363636,0.484848,0.242424,0.060606,0.787879,0.30303,0.484848,0.484848,0.30303,0.909091,0.484848,0.727273,0.545455,0.969697,0.424242,0.727273,0.424242,0.545455,0.181818,0,0,0,cluster2
293,0.8,0,0,1.6,2,0,0,0,0.4,0.8,0.4,0.8,0.8,0,1.2,0,0.4,0,0,0,0.4,0.4,0,0,cluster3
294,0,0.243902,0.243902,0,0.487805,0.97561,0.487805,1.219512,0.97561,0.243902,0,0.97561,0.243902,0.487805,0.243902,0.487805,0.487805,0.243902,1.707317,0.243902,0,0,0,0,cluster4
295,0,0,0,0,0,1.25,0.625,0,1.25,0.625,0,0.625,0,0.625,0.625,0,0.625,0.625,1.875,0,0.625,0,0,0.625,cluster4
296,0.5,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,0,1,0,1,2,1,0,0,0.5,0,cluster4
297,0.17341,0.346821,1.040462,0.693642,0.809249,0.289017,0.520231,0.693642,0.635838,0.924855,0.404624,0.346821,0.346821,0.346821,0.520231,0.346821,0.17341,0.404624,0.289017,0.115607,0.231214,0.17341,0.17341,0,cluster2
298,1,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,cluster4
299,0.909091,0,0.454545,0.909091,0.454545,0.454545,0.454545,0,0.454545,0.454545,0.909091,0,0.454545,0,0.454545,0,0.454545,0.454545,0.909091,0.454545,0.454545,0,0.909091,0,cluster5
300,0.294118,0.294118,0,0,0.882353,0.882353,0.882353,0.294118,0,0.294118,0.588235,0,0.294118,0,0.294118,0.588235,0.588235,0,1.470588,1.470588,0.294118,0.294118,0.294118,0,cluster4
301,0.731707,0.121951,0.243902,0.243902,0.365854,0.243902,0.487805,0.609756,0.487805,0.97561,0.243902,0.487805,0.609756,0.731707,0.121951,0.731707,0.731707,0.487805,0.365854,0.243902,0.121951,0.121951,0.121951,0.365854,cluster2
302,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
303,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
304,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,cluster0
305,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,cluster3
306,0.172414,0.775862,0.431034,0.603448,0.258621,0.344828,0.258621,0.431034,0.948276,0.344828,0.172414,0.344828,1.034483,0.172414,0.258621,0.431034,0.344828,0.431034,0.431034,0.172414,0.517241,0.344828,0.603448,0.172414,cluster2
307,0,0.909091,0,0,0.909091,0,0,0,0,0.909091,0,0,0.909091,1.818182,0,0,0,0.909091,1.818182,0.909091,0,0,0.909091,0,cluster4
308,0,1.37931,0.689655,0.517241,0.517241,0.172414,0.172414,0.862069,0,1.034483,0.517241,0,0,0.689655,0.344828,0.689655,0.172414,0.689655,0.172414,0,0.689655,0,0.689655,0,cluster4
309,0,0.9375,1.5625,0,0.625,0,0,0,0.625,0.3125,0.9375,0.625,0,0.9375,0,0.3125,0.625,0.3125,0.625,0,0.9375,0,0.3125,0.3125,cluster2
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
311,0,0,0,0,0,3.333333,0,0,0,1.666667,1.666667,0,0,0,0,1.666667,0,0,1.666667,0,0,0,0,0,cluster4
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
316,0,0,0,0,0,5,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,0,cluster0
317,0,0,0,0,0,2.5,0,0,0,0,1.25,1.25,0,0,0,2.5,1.25,0,0,0,0,1.25,0,0,cluster0
318,0.555556,0.740741,1.481481,0.185185,0.37037,0.185185,0.185185,0.185185,0.185185,0.555556,0.740741,0,0,0.37037,0.37037,0.555556,0.185185,0.740741,0.185185,0.37037,0.925926,0.37037,0.185185,0.37037,cluster2
