@relation Vweek_noid_Out2_clustered

@attribute Instance_number numeric
@attribute out0 numeric
@attribute out1 numeric
@attribute out2 numeric
@attribute out3 numeric
@attribute out4 numeric
@attribute out5 numeric
@attribute out6 numeric
@attribute out7 numeric
@attribute out8 numeric
@attribute out9 numeric
@attribute out10 numeric
@attribute out11 numeric
@attribute out12 numeric
@attribute out13 numeric
@attribute out14 numeric
@attribute out15 numeric
@attribute out16 numeric
@attribute out17 numeric
@attribute out18 numeric
@attribute out19 numeric
@attribute out20 numeric
@attribute out21 numeric
@attribute out22 numeric
@attribute out23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
93,0.526316,0.929825,0.578947,0.350877,0.54386,0.280702,0.526316,0.403509,0.385965,0.77193,0.298246,0.140351,0.350877,0.350877,0.45614,0.491228,0.280702,0.245614,0.245614,0.263158,0.421053,0.350877,0.526316,0.280702,cluster4
94,0.257549,0.346359,0.568384,0.515098,0.408526,0.417407,0.479574,0.470693,0.488455,0.381883,0.399645,0.364121,0.35524,0.35524,0.328597,0.390764,0.310835,0.337478,0.523979,0.435169,0.630551,0.550622,0.364121,0.319716,cluster4
95,0.508475,0.889831,0.338983,0.338983,0.466102,0.381356,0.423729,0.59322,0.254237,0.381356,0.338983,0.169492,0.720339,0.677966,0.59322,0.508475,0.29661,0.338983,0.127119,0.338983,0.466102,0.254237,0.423729,0.169492,cluster4
96,0.225225,0.495495,0.698198,0.574324,0.472973,0.326577,0.563063,0.484234,0.349099,0.518018,0.371622,0.427928,0.292793,0.461712,0.337838,0.36036,0.540541,0.405405,0.382883,0.45045,0.315315,0.371622,0.259009,0.315315,cluster4
97,0.069721,0.896414,0.737052,0.428287,0.587649,0.488048,0.458167,0.388446,0.468127,0.268924,0.428287,0.308765,0.408367,0.328685,0.517928,0.288845,0.428287,0.388446,0.239044,0.428287,0.328685,0.438247,0.498008,0.179283,cluster4
98,0,5,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,cluster9
99,0.017575,0.738137,0.667838,0.702988,0.59754,0.316344,0.421793,0.527241,0.527241,0.56239,0.439367,0.369069,0.351494,0.316344,0.369069,0.210896,0.492091,0.228471,0.404218,0.456942,0.369069,0.456942,0.193322,0.26362,cluster4
100,0.376238,0.623762,0.628713,0.747525,0.465347,0.381188,0.341584,0.49505,0.509901,0.39604,0.351485,0.262376,0.341584,0.316832,0.316832,0.247525,0.316832,0.361386,0.391089,0.376238,0.485149,0.440594,0.391089,0.435644,cluster4
101,0.250348,0.166898,0.111266,0.180807,0.166898,0.361613,0.347705,0.347705,0.305981,0.278164,0.584145,0.556328,0.458971,0.584145,0.667594,0.584145,0.445063,0.584145,0.69541,0.472879,0.653686,0.236439,0.54242,0.417246,cluster5
102,0.063425,0.12685,0.232558,0.317125,0.169133,0.359408,0.2537,0.38055,0.401691,0.2537,0.317125,0.655391,0.591966,0.951374,0.655391,0.655391,0.465116,0.824524,0.845666,0.761099,0.147992,0.317125,0.190275,0.063425,cluster5
103,0.629562,0.255474,0.100365,0.173358,0.164234,0.155109,0.20073,0.209854,0.255474,0.282847,0.355839,0.428832,0.60219,0.656934,0.565693,0.392336,0.419708,0.456204,0.520073,0.620438,0.574818,0.483577,0.784672,0.711679,cluster5
104,0.731707,0.623306,0.298103,0.298103,0.216802,0.271003,0.460705,0.379404,0.189702,0.298103,0.487805,0.352304,0.325203,0.325203,0.379404,0.623306,0.325203,0.433604,0.704607,0.731707,0.379404,0.298103,0.271003,0.596206,cluster5
105,0.467836,0.491228,0.327485,0.491228,0.444444,0.385965,0.362573,0.596491,0.327485,0.327485,0.280702,0.269006,0.45614,0.467836,0.350877,0.304094,0.292398,0.339181,0.374269,0.421053,0.385965,0.643275,0.51462,0.678363,cluster4
106,0.387097,0.451613,0.193548,0.064516,0.322581,0.258065,0.580645,0.193548,0.387097,0.580645,0.129032,0.580645,0.322581,0.322581,1.290323,0.516129,0.387097,0.709677,0.580645,0.580645,0.387097,0.129032,0.387097,0.258065,cluster5
